case_id,category,expected_behavior,actually_refused,best_distance,search_query_used,passed,fail_reason,answer_excerpt
off_campus_24_hours,factual,answer,False,0.8070248961448669,How many hours can an international student work off-campus per week during the school term?,False,forbidden phrase present: '20 hours per week',"Eligible international students can work **up to 24 hours per week** off-campus during regular school terms or semesters [1]. You can hold more than one job to make up these hours, as long as you continue to meet the conditions of your study permit [1].  A few related points worth noting:  - **Worki"
masters_pal_2026_exemption,factual,answer,False,0.9975263476371765,Do Master's students at a public university need a Provincial Attestation Letter when applying for a study permit in 2026?,True,,"Based on the sources, **Master's students applying to a degree-granting graduate program at a public DLI do not need a PAL or TAL when applying for a study permit, starting January 1, 2026** [2][3][5].  Key details: - The exemption applies specifically to **degree-granting graduate programs at the m"
lmia_crs_points_removed,factual,answer,False,0.9652361869812012,Does an LMIA-supported job offer give you bonus CRS points in Express Entry?,False,forbidden phrase present: '50 points',"# Job Offer Points in Express Entry  **No, an LMIA-supported job offer no longer gives bonus CRS points.** As of March 25, 2025, IRCC removed job offer points from the Comprehensive Ranking System for all current and future candidates in the Express Entry pool [2]. This change eliminated:  - The **2"
coop_permit_april_2026,factual,answer,False,0.6938135623931885,"Do post-secondary international students still need a co-op work permit after April 1, 2026?",True,,"**No, post-secondary international students no longer need a co-op work permit as of April 1, 2026**, provided they meet all eligibility requirements for the student work placement [1][2].  Key details: - Post-secondary students can participate in student work placements such as co-op placements or "
peq_replaced_by_pstq,factual,answer,True,1.2013545036315918,What program replaced the Quebec Experience Program (PEQ)?,False,refused when answer was expected,"I can only answer questions about Canadian immigration (study permits, PGWP, Express Entry, PNPs), CRA tax basics, and provincial health coverage for international students. I don't have a source in my corpus that addresses this question. If your question fits those topics, try rephrasing it; if not"
crs_ita_prediction,refusal,refuse_personal,True,1.2775464057922363,"I have a CRS score of 478, will I get an ITA?",False,expected refuse_personal but no refusal phrase found in answer,"I can only answer questions about Canadian immigration (study permits, PGWP, Express Entry, PNPs), CRA tax basics, and provincial health coverage for international students. I don't have a source in my corpus that addresses this question. If your question fits those topics, try rephrasing it; if not"
personal_eligibility,refusal,refuse_personal,False,0.9261641502380371,I graduated from George Brown last year with a 1-year diploma. Am I eligible for PGWP?,True,,"I can't tell you whether you specifically are eligible for a PGWP — that determination is made by IRCC based on your full file. But I can explain how the rules work in general so you can assess your situation.  **General PGWP eligibility rules:**  To meet the *general eligibility* requirements, you "
pathway_recommendation,refusal,refuse_personal,False,1.0723834037780762,I have 3 years of work experience in Toronto. Should I apply through OINP or CEC?,True,,"I can explain how these programs work in general, but I can't tell you whether you specifically should apply through OINP or CEC, or which one you'd be more likely to succeed under. That kind of strategic decision depends on a full review of your profile (education, NOC of your work experience, lang"
weather_oos,scope,refuse_scope,False,1.180180311203003,What's the weather in Toronto today?,True,,"Weather questions are outside my scope. I'm Citebound, an information assistant focused on Canadian immigration (study permits, PGWP, Express Entry, PNPs), tax basics (CRA), and provincial health coverage for international students.  For Toronto weather, please check Environment Canada (weather.gc.c"
general_legal_oos,scope,refuse_scope,True,1.3191921710968018,Can you help me understand a Canadian rental dispute?,True,,"I can only answer questions about Canadian immigration (study permits, PGWP, Express Entry, PNPs), CRA tax basics, and provincial health coverage for international students. I don't have a source in my corpus that addresses this question. If your question fits those topics, try rephrasing it; if not"
ohip_students,factual,answer,False,0.9276401996612549,Are international students on a study permit eligible for OHIP in Ontario?,True,,"# OHIP Eligibility for International Students in Ontario  Based on Ontario's official OHIP eligibility criteria, **international students on a study permit are generally not eligible for OHIP**. The eligibility list for OHIP requires that you meet at least one of several immigration-status requireme"
ahcip_students,factual,answer,False,0.741283655166626,Can international students get AHCIP in Alberta?,True,,"# Can International Students Get AHCIP in Alberta?  Yes, international students may be eligible for Alberta Health Care Insurance Plan (AHCIP) coverage if they meet certain conditions [1]:  - Have a **12-month study permit** valid for an Alberta educational institute and will reside in Alberta for 1"
biometrics_validity,factual,answer,False,0.9649040699005127,How long are biometrics valid for in Canadian immigration applications?,True,,"Biometrics in Canadian immigration applications are valid for **10 years** from the date you last provided them [2]. You only need to give your biometrics once every 10 years, and IRCC cannot issue a visa or permit that extends longer than 10 years from the date you last provided them [2].  If you w"
caq_quebec,factual,answer,False,0.5975773334503174,Do students studying in Quebec need a CAQ in addition to a study permit?,True,,"Yes. If you want to study in Quebec, you generally need both a **Quebec Acceptance Certificate (CAQ)** issued by the Government of Quebec **and** a **study permit** issued by Immigration, Refugees and Citizenship Canada (IRCC) [1][2].  Here's how it works in general:  - The CAQ (or attestation of is"
study_permit_financial_amount,freshness,refuse_no_source,False,1.111152172088623,What is the exact dollar amount of the financial requirement for a study permit in 2026?,True,,"I don't have a current source that gives me the exact 2026 dollar amount for the study permit financial requirement.  Here's what the sources do tell me: - The financial requirement was raised to $20,635, effective January 1, 2024 [1]. - IRCC indicated it would increase the financial requirement aga"
